if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
0,1,555,0,residential,1,1
0,0,300,1,residential,1,1
0,1,400,1,social,1,1
0,1,700,1,educational,1,1
0,1,499,1,residential,1,1
0,0,1200,0,social,1,1
0,1,590,1,residential,1,1
0,0,800,1,residential,1,1
0,0,399,1,residential,1,1
0,1,500,1,residential,1,1
0,1,400,0,residential,1,1
0,0,200,1,social,1,1
0,0,620,0,residential,1,1
0,0,600,1,educational,1,1
0,1,600,1,residential,0,0
0,0,400,1,social,1,1
0,1,500,1,social,1,1
0,0,1299,1,residential,1,1
0,0,750,1,social,1,1
0,0,500,1,social,1,1
0,0,1500,1,residential,0,0
0,1,900,1,social,0,0
0,1,200,1,social,1,1
0,1,200,1,residential,1,1
0,0,575,1,residential,1,1
0,1,1600,1,residential,1,1
0,0,1169,1,residential,1,1
0,1,700,1,social,1,1
0,1,1100,1,residential,1,1
0,0,1200,1,residential,1,1
0,1,1000,1,residential,1,1
0,0,600,1,residential,1,1
0,0,150,0,residential,1,1
0,1,500,1,residential,1,1
0,1,250,1,educational,1,1
0,0,900,1,residential,1,1
0,1,700,1,social,1,1
0,1,150,0,educational,1,1
0,0,500,1,residential,1,1
0,0,200,0,residential,1,1
0,0,569,1,residential,1,1
0,0,600,0,residential,1,1
0,0,500,1,residential,0,0
0,1,500,1,social,0,0
0,0,1000,1,residential,1,1
0,0,100,1,residential,1,1
0,0,1247,1,residential,0,0
0,0,800,1,social,1,1
0,0,500,1,social,1,1
0,0,1500,1,residential,1,1
0,0,3000,1,residential,1,1
0,0,300,0,residential,1,1
0,0,900,1,social,1,1
0,0,2200,1,residential,1,1
0,1,1000,0,residential,1,1
0,0,700,0,residential,1,1
0,1,200,1,residential,1,1
0,1,700,1,educational,1,1
0,0,1400,1,residential,1,1
0,0,850,1,social,1,1
1,1,2400,1,residential,1,1
0,0,350,1,residential,1,1
0,0,200,1,educational,1,1
0,0,500,1,social,0,0
0,0,200,1,social,1,1
0,1,150,0,residential,1,1
0,0,400,1,social,0,0
0,0,50,1,residential,0,0
0,0,550,1,residential,1,1
1,0,875,1,residential,1,1
0,0,550,1,residential,1,1
0,1,350,1,social,1,1
0,0,1300,1,social,0,0
0,0,1000,1,residential,1,1
0,0,600,1,educational,1,1
0,0,659,1,residential,0,0
0,0,750,1,residential,1,1
0,0,550,1,residential,1,1
0,1,750,1,residential,0,0
0,0,1000,1,residential,1,1
0,0,750,1,social,1,1
0,1,400,1,residential,1,1
0,0,600,1,residential,1,1
0,0,1700,1,residential,0,0
0,0,2400,1,residential,0,0
0,0,2500,1,residential,1,1
0,0,150,1,residential,1,1
0,1,400,0,residential,0,0
0,0,1200,1,residential,1,1
0,1,900,1,residential,1,1
0,1,1100,1,residential,1,1
0,1,1000,1,social,1,1
0,1,550,1,residential,1,1
0,1,500,1,residential,0,0
0,0,800,1,residential,1,1
0,0,1100,1,residential,1,1
0,0,250,1,residential,1,1
0,0,250,1,social,1,1
0,0,300,1,residential,1,1
0,0,200,1,residential,1,1
0,1,361,1,social,1,1
0,1,500,1,social,1,1
0,1,552,1,social,1,1
0,1,1650,1,social,1,1
0,1,500,1,social,1,1
0,0,300,1,residential,1,1
0,1,700,1,residential,1,1
0,1,597,1,residential,1,1
0,0,820,1,residential,1,1
0,0,450,1,residential,1,1
0,1,1000,1,residential,0,0
0,0,800,1,social,0,0
0,1,1100,1,residential,1,1
0,1,500,1,residential,1,1
0,0,1000,1,residential,1,1
0,1,2000,1,residential,1,1
0,1,2000,1,residential,1,1
0,1,300,1,residential,1,1
0,1,300,1,residential,1,1
0,1,500,1,social,1,1
0,1,400,1,social,1,1
0,0,150,1,residential,1,1
0,1,100,1,residential,1,1
0,1,600,1,residential,1,1
0,1,900,1,residential,1,1
0,0,600,1,social,0,0
0,0,1700,1,residential,1,1
0,1,1200,1,residential,0,0
0,1,500,1,residential,1,1
0,1,1600,1,residential,1,1
0,1,600,1,residential,1,1
0,0,500,1,residential,1,1
0,0,200,1,social,1,1
0,0,750,1,residential,1,1
0,0,100,1,residential,1,1
0,0,400,1,social,1,1
0,0,1000,1,social,0,0
0,0,1000,1,social,0,0
0,0,200,1,social,0,0
0,1,600,1,social,0,0
0,1,2100,1,residential,1,1
0,1,400,1,social,1,1
0,1,300,1,residential,1,1
0,1,400,1,social,0,0
0,0,165,1,educational,1,1
0,0,600,1,social,1,1
0,1,600,1,educational,1,1
0,0,758,1,social,1,1
0,1,1175,1,residential,0,0
0,0,600,1,educational,0,0
0,1,1000,1,residential,1,1
0,1,850,1,residential,1,1
0,1,323,1,social,1,1
0,0,350,1,social,0,0
0,1,2239,1,residential,1,1
0,0,2936,1,residential,1,1
0,0,500,0,educational,0,0
0,0,400,1,residential,1,1
0,1,550,1,residential,0,0
0,0,700,1,residential,1,1
0,0,549,1,residential,1,1
0,0,1000,1,educational,0,0
0,1,600,1,residential,1,1
0,0,971,1,residential,1,1
0,0,1200,1,residential,1,1
0,1,1000,1,social,0,0
0,0,400,1,residential,1,1
0,1,677,1,social,1,1
0,1,750,1,social,1,1
0,0,500,1,residential,1,1
1,0,129,0,educational,1,1
1,0,1000,1,residential,0,0
1,0,700,1,residential,1,1
1,0,1000,1,residential,1,1
1,0,650,0,residential,1,1
0,1,500,1,social,1,1
1,0,500,1,social,1,1
1,0,500,1,social,1,1
1,1,150,0,educational,1,1
1,1,439,1,social,1,1
1,1,450,0,social,0,0
1,0,3000,1,residential,1,1
1,0,1800,1,residential,1,1
1,1,2200,1,residential,1,1
1,1,1200,1,residential,1,1
1,1,2500,1,residential,1,1
1,1,3500,1,residential,1,1
1,1,250,1,residential,1,1
0,0,750,1,residential,1,1
1,1,500,0,residential,1,1
1,1,560,1,social,1,1
1,0,1500,1,social,0,0
0,1,600,1,social,0,0
0,0,1400,1,residential,0,0
1,1,650,1,social,0,0
1,1,700,1,social,1,1
1,0,1500,1,residential,1,1
1,1,300,1,residential,1,1
0,0,300,1,residential,1,1
1,1,100,1,social,1,1
0,1,4800,1,social,1,1
1,1,700,0,residential,1,1
1,0,900,1,social,0,0
0,1,2500,1,residential,1,1
1,0,1240,1,residential,1,1
1,0,225,1,residential,1,1
0,1,1000,1,residential,0,0
1,0,300,0,residential,0,0
1,0,200,1,residential,1,1
1,1,529,1,residential,1,1
0,0,500,1,social,1,1
0,1,350,1,residential,1,1
1,0,1200,1,residential,1,1
1,1,900,1,residential,1,1
1,0,800,1,residential,1,1
1,1,155,1,residential,1,1
1,1,155,1,residential,1,1
1,0,6000,1,residential,1,1
1,1,1500,1,residential,1,1
1,1,3000,1,residential,1,1
1,0,400,0,residential,0,0
1,0,400,1,residential,1,1
1,0,700,1,residential,1,1
1,0,1800,1,social,1,1
1,0,1100,1,social,0,0
0,1,550,1,social,1,1
1,0,250,0,educational,1,1
1,0,300,0,educational,1,1
1,1,800,0,residential,1,1
1,1,300,0,residential,1,1
1,1,2000,1,social,0,0
0,1,380,0,residential,1,1
0,0,1000,1,residential,1,1
0,0,1300,1,residential,1,1
0,1,750,1,residential,0,0
1,0,1350,1,residential,1,1
0,1,700,0,residential,1,1
0,0,250,1,residential,1,1
1,1,499,1,social,0,0
0,0,350,1,residential,1,1
0,0,700,1,social,1,1
0,0,800,1,residential,1,1
0,0,300,1,educational,1,1
0,1,300,0,educational,1,1
0,0,900,1,educational,1,1
0,0,650,1,residential,1,1
0,1,2000,1,social,1,1
0,1,300,1,social,1,1
0,1,1200,0,residential,1,1
0,1,1700,1,residential,1,1
0,0,1100,1,residential,1,1
0,1,100,1,social,1,1
0,1,2030,1,residential,1,1
1,1,520,1,residential,1,1
1,0,1017,1,residential,1,1
1,0,1300,1,residential,1,1
0,1,300,1,social,1,1
1,0,270,1,social,1,1
1,1,1000,1,social,0,0
1,1,500,1,residential,0,0
1,0,2500,1,residential,1,1
1,0,1500,1,residential,1,1
1,0,1500,1,social,1,1
0,0,2200,1,social,0,0
1,0,1000,0,residential,1,1
1,1,1000,0,residential,1,1
1,1,500,1,social,1,1
0,1,1200,1,social,1,1
0,1,550,1,social,1,1
1,0,550,1,residential,1,1
1,0,500,1,residential,1,1
1,0,500,1,residential,1,1
0,1,860,1,social,0,0
1,1,620,1,residential,1,1
1,1,2600,1,social,0,0
0,0,150,1,social,0,0
0,0,50,1,residential,1,1
1,1,500,1,residential,1,1
1,1,300,1,social,1,1
0,1,1000,1,residential,1,1
1,0,3000,1,residential,1,1
1,1,1400,1,residential,1,1
1,0,2260,1,residential,1,1
1,1,5700,1,residential,0,0
1,0,2000,1,residential,0,0
1,1,700,0,social,1,1
1,0,200,1,social,1,1
1,1,1200,1,residential,1,1
1,1,200,0,residential,1,1
1,1,100,0,residential,1,1
1,0,2000,1,residential,1,1
0,0,1400,1,educational,0,0
0,1,1000,1,residential,1,1
1,1,150,1,residential,0,0
0,0,500,1,residential,0,0
0,0,300,1,residential,1,1
0,1,549,0,residential,1,1
0,1,250,1,social,1,1
0,1,750,0,residential,0,0
0,0,2000,1,social,1,1
0,0,600,1,social,1,1
0,1,50,0,residential,1,1
0,1,3000,1,social,0,0
0,0,300,1,residential,1,1
1,0,700,1,social,1,1
1,0,1000,1,residential,0,0
1,0,700,1,social,0,0
1,1,4500,1,residential,1,1
1,0,100,0,residential,1,1
1,0,200,1,residential,1,1
0,0,500,1,social,0,0
1,0,700,1,residential,0,0
1,0,300,1,social,1,1
1,1,1600,1,residential,0,0
1,1,250,1,social,0,0
1,1,175,1,social,1,1
1,1,900,1,social,0,0
1,1,500,1,social,1,1
0,0,75,1,residential,1,1
1,1,350,1,residential,1,1
1,1,160,1,social,1,1
1,0,120,1,social,0,0
1,1,2000,1,residential,1,1
1,1,450,1,residential,1,1
1,1,4000,1,residential,1,1
1,1,500,1,residential,1,1
1,0,1000,1,residential,0,0
1,0,100,0,social,1,1
1,1,400,0,residential,1,1
1,1,5700,1,social,0,0
1,0,1000,1,residential,1,1
1,0,200,0,educational,1,1
1,1,700,1,residential,1,1
0,0,100,1,social,1,1
1,1,5500,1,residential,1,1
1,0,140,1,residential,1,1
0,1,1000,1,social,1,1
1,1,700,1,social,0,0
0,0,225,0,residential,1,1
0,1,1100,1,social,1,1
0,0,600,1,social,0,0
1,0,500,1,residential,1,1
1,0,600,1,residential,1,1
1,0,800,0,residential,1,1
1,0,2000,0,residential,1,1
1,0,1000,1,social,0,0
0,1,200,0,educational,1,1
1,1,410,1,social,1,1
0,0,1750,0,residential,1,1
0,0,1000,0,residential,1,1
1,1,1000,0,residential,1,1
1,1,400,0,social,1,1
1,0,1500,1,residential,0,0
1,0,300,1,residential,1,1
1,0,200,0,educational,1,1
1,0,1200,1,residential,1,1
0,1,750,0,social,0,0
1,0,200,1,social,1,1
1,1,600,0,educational,1,1
1,1,450,1,social,1,1
1,1,1500,1,social,0,0
0,0,3000,1,social,0,0
0,1,450,1,residential,1,1
0,0,679,1,social,0,0
0,0,500,0,educational,1,1
1,0,3000,1,residential,0,0
1,1,680,1,social,1,1
1,1,200,1,residential,1,1
1,0,400,1,social,1,1
0,1,450,1,social,1,1
1,1,440,1,social,1,1
1,1,1000,1,social,0,0
0,1,700,1,social,1,1
1,1,1500,1,social,1,1
0,0,600,1,residential,1,1
1,1,450,1,residential,1,1
1,0,200,0,social,0,0
0,1,150,1,residential,1,1
1,0,500,1,residential,1,1
1,1,1000,1,residential,1,1
0,1,2000,1,residential,1,1
0,1,1200,1,residential,1,1
0,0,659,1,residential,1,1
0,1,400,1,residential,1,1
0,1,1300,1,residential,0,0
0,1,1100,1,residential,0,0
1,1,630,1,residential,0,0
0,1,860,1,residential,1,1
0,1,400,1,social,1,1
1,1,729,1,residential,1,1
1,1,1000,1,social,0,0
0,1,700,1,educational,1,1
0,0,3500,1,social,0,0
1,1,1500,1,social,1,1
0,0,375,1,social,1,1
0,1,3500,1,social,0,0
0,1,300,1,social,1,1
1,0,5000,1,residential,0,0
1,0,400,1,residential,0,0
1,1,4000,1,residential,1,1
1,1,4000,1,residential,1,1
1,0,600,1,residential,1,1
1,1,4000,1,residential,0,0
1,1,400,1,residential,0,0
1,0,700,1,social,1,1
1,1,500,1,residential,0,0
1,1,7000,1,residential,1,1
1,1,6550,1,social,0,0
1,1,600,0,social,1,1
1,1,800,0,residential,0,0
1,1,700,1,residential,0,0
1,0,700,1,residential,0,0
0,0,200,1,residential,0,0
1,1,550,1,residential,0,0
1,0,340,1,residential,0,0
1,1,574,1,residential,0,0
1,0,150,1,residential,1,1
1,1,150,1,residential,1,1
1,0,600,1,social,1,1
1,0,5000,1,residential,1,1
1,0,800,0,residential,1,1
0,0,500,1,residential,1,1
1,0,1100,1,residential,1,1
0,1,1000,1,residential,1,1
0,1,400,0,residential,1,1
0,0,700,0,residential,1,1
1,1,850,1,residential,1,1
0,0,250,1,residential,1,1
0,1,589,1,residential,1,1
0,1,400,1,residential,1,1
1,1,2000,1,residential,0,0
1,0,700,1,residential,1,1
1,1,700,1,residential,1,1
0,0,1800,1,residential,1,1
0,1,2000,1,residential,1,1
0,1,1500,1,residential,1,1
1,1,840,1,residential,1,1
1,0,2500,1,social,1,1
0,1,900,1,social,1,1
1,0,500,1,residential,1,1
1,0,500,1,social,1,1
0,1,3000,1,residential,1,1
1,0,750,1,residential,1,1
1,1,580,1,residential,1,1
1,1,1100,1,residential,1,1
1,1,120,0,residential,1,1
1,0,500,1,residential,0,0
1,1,1000,1,residential,0,0
1,1,2300,1,residential,0,0
1,0,450,0,residential,0,0
1,0,7000,0,residential,1,1
1,0,600,1,residential,0,0
0,1,3000,1,social,0,0
1,0,400,0,residential,1,1
1,0,500,0,residential,1,1
1,1,650,1,residential,0,0
1,0,260,1,social,1,1
1,1,535,1,residential,0,0
1,1,700,1,residential,0,0
1,0,550,1,residential,0,0
1,0,5000,1,residential,1,1
1,1,2000,1,social,1,1
1,1,650,1,residential,1,1
1,1,350,1,residential,1,1
1,1,1000,1,social,1,1
1,0,1000,1,residential,1,1
0,0,1000,1,residential,1,1
1,0,350,1,residential,1,1
1,0,350,1,residential,1,1
1,0,1000,1,social,1,1
1,0,250,1,residential,1,1
0,0,1000,1,social,1,1
1,0,450,1,residential,0,0
1,1,450,1,residential,0,0
1,1,100,1,residential,1,1
1,1,4000,1,social,0,0
1,1,949,1,residential,1,1
1,1,650,1,residential,0,0
0,1,200,1,social,1,1
1,0,1000,1,residential,0,0
1,0,250,1,social,1,1
0,0,800,1,residential,1,1
0,1,1400,1,social,1,1
0,1,850,1,residential,0,0
0,0,650,1,residential,1,1
0,1,700,1,social,1,1
1,1,888,1,social,0,0
0,1,300,1,residential,1,1
0,0,549,0,residential,1,1
0,1,449,0,residential,1,1
0,1,700,1,social,0,0
0,1,550,1,residential,1,1
0,1,1300,1,educational,1,1
0,1,700,1,social,1,1
1,1,800,1,residential,1,1
1,1,500,1,residential,1,1
0,0,499,1,social,0,0
0,0,550,1,social,1,1
0,0,500,1,social,1,1
1,1,1050,1,residential,1,1
0,1,207,1,social,1,1
1,1,700,1,residential,1,1
0,1,725,1,residential,1,1
0,1,1016,1,educational,1,1
1,0,300,1,social,1,1
0,1,500,1,social,1,1
0,0,800,1,residential,1,1
1,0,700,1,social,1,1
0,0,519,0,residential,1,1
0,0,900,1,residential,1,1
0,1,1400,1,residential,1,1
0,0,500,1,social,1,1
1,1,600,1,residential,1,1
1,0,800,1,social,1,1
0,1,699,0,residential,1,1
0,0,1500,1,social,1,1
1,1,400,1,residential,1,1
0,0,279,1,social,1,1
0,1,500,1,social,0,0
0,1,1000,1,residential,0,0
0,0,550,0,residential,1,1
1,1,1000,1,residential,0,0
0,0,1100,1,residential,1,1
1,0,399,1,social,1,1
1,1,4000,0,residential,1,1
0,1,1200,1,social,1,1
0,1,500,1,social,1,1
0,0,500,1,residential,1,1
1,0,370,1,social,0,0
1,1,600,1,residential,1,1
0,0,1200,1,residential,1,1
0,0,300,1,residential,1,1
1,0,800,1,residential,0,0
1,1,600,1,social,1,1
0,1,499,1,social,0,0
0,1,900,1,residential,1,1
1,1,700,1,residential,1,1
1,1,1200,1,residential,1,1
1,1,1050,1,residential,1,1
0,0,800,1,social,1,1
0,1,1100,1,residential,1,1
1,1,600,1,residential,1,1
1,1,800,1,residential,0,0
1,0,50,1,social,1,1
0,0,330,1,residential,0,0
1,0,650,1,residential,1,1
1,1,800,0,social,1,1
1,1,600,1,residential,1,1
1,0,850,1,social,1,1
1,0,800,1,residential,1,1
0,1,200,1,social,1,1
1,1,200,1,residential,1,1
0,1,550,1,residential,1,1
1,1,1300,1,social,1,1
0,1,950,1,social,0,0
0,1,1000,1,social,0,0
0,1,800,1,social,0,0
0,0,200,1,residential,1,1
0,1,500,1,residential,1,1
1,0,1500,1,residential,1,1
0,1,550,1,residential,1,1
1,1,650,1,residential,1,1
0,0,250,1,residential,1,1
0,1,700,1,social,1,1
0,0,3000,1,social,1,1
1,1,4000,1,residential,1,1
0,0,379,1,residential,1,1
1,1,400,1,social,0,0
0,1,900,0,residential,1,1
0,1,900,0,residential,1,1
1,0,250,1,residential,1,1
1,1,800,1,residential,1,1
1,1,800,1,residential,1,1
0,0,400,1,social,0,0
1,0,600,1,social,1,1
1,0,400,1,residential,1,1
1,1,400,1,residential,0,0
1,1,610,1,residential,1,1
0,1,499,0,social,1,1
1,1,400,1,educational,1,1
1,0,200,1,social,1,1
1,0,400,1,social,1,1
0,0,500,1,residential,1,1
1,0,500,1,social,1,1
0,0,1000,1,residential,0,0
0,1,450,1,residential,0,0
1,1,650,1,social,0,0
1,1,1000,1,social,1,1
1,0,2500,1,residential,1,1
0,1,640,1,residential,1,1
0,1,600,1,social,0,0
1,0,689,1,residential,1,1
1,1,185,1,residential,1,1
1,0,689,1,residential,1,1
1,0,1000,1,social,1,1
1,1,1600,1,social,0,0
1,1,585,1,social,1,1
1,1,1100,1,residential,1,1
1,0,300,1,social,1,1
0,1,950,1,residential,1,1
0,1,900,1,social,1,1
1,1,1500,1,residential,1,1
1,0,500,1,residential,0,0
1,1,300,1,residential,1,1
1,1,800,1,residential,1,1
0,1,1015,1,residential,1,1
1,0,2000,1,residential,1,1
1,1,2286,1,residential,1,1
1,1,800,1,residential,1,1
0,1,250,1,educational,0,0
1,0,400,1,social,1,1
1,1,200,1,social,1,1
1,0,1800,1,social,1,1
0,1,600,1,social,1,1
0,1,450,1,social,1,1
0,0,1550,1,residential,1,1
0,0,1200,1,social,1,1
0,0,450,1,social,1,1
0,0,250,1,residential,1,1
0,1,1100,1,social,1,1
0,1,395,1,residential,1,1
0,1,950,1,residential,0,0
1,1,850,1,residential,1,1
0,0,750,1,residential,1,1
1,1,1720,1,residential,1,1
0,1,1000,1,residential,0,0
1,0,600,1,social,0,0
1,0,430,1,social,1,1
0,1,600,1,social,1,1
0,0,549,1,residential,0,0
0,0,600,1,residential,0,0
1,1,700,1,educational,1,1
1,0,500,1,residential,1,1
1,0,660,1,residential,1,1
1,1,800,1,social,1,1
1,0,1500,1,residential,1,1
1,0,1500,1,residential,1,1
1,0,1500,1,residential,0,0
1,0,1300,1,social,1,1
1,1,899,1,residential,1,1
1,0,112,1,social,1,1
1,1,1500,1,residential,1,1
1,1,450,1,residential,1,1
1,1,2000,1,social,0,0
0,1,550,1,residential,1,1
1,1,500,1,residential,1,1
0,1,500,1,residential,1,1
0,1,669,1,residential,1,1
0,1,669,1,residential,1,1
1,0,800,0,residential,1,1
0,0,400,1,social,1,1
1,1,695,1,residential,1,1
1,1,1500,1,residential,1,1
1,0,300,1,residential,0,0
1,0,1000,1,residential,1,1
0,1,350,0,residential,1,1
0,1,350,0,residential,1,1
1,1,500,1,educational,1,1
1,1,550,1,residential,1,1
1,0,950,1,residential,1,1
1,0,250,1,social,1,1
1,1,425,1,social,1,1
1,1,900,1,residential,1,1
1,1,500,1,social,1,1
1,0,679,1,residential,1,1
1,1,1500,1,social,1,1
0,1,2000,1,residential,0,0
1,0,400,1,social,0,0
0,1,700,1,social,1,1
0,0,150,1,social,1,1
0,1,600,1,residential,1,1
0,1,650,1,residential,1,1
0,1,500,1,social,1,1
0,0,750,1,residential,1,1
0,0,380,1,residential,1,1
0,0,500,1,social,1,1
0,0,500,1,social,1,1
0,0,2500,1,residential,1,1
0,1,1000,1,residential,0,0
0,1,1000,1,social,1,1
0,0,1500,1,educational,0,0
0,1,500,1,residential,1,1
1,0,500,1,residential,1,1
1,0,550,1,social,1,1
0,1,650,1,social,1,1
0,1,1000,1,social,1,1
1,0,1000,1,residential,1,1
1,1,800,1,residential,0,0
1,0,860,1,residential,1,1
0,0,399,1,social,0,0
0,1,1000,1,residential,1,1
1,0,439,1,social,1,1
1,0,5000,1,social,0,0
1,0,400,1,social,1,1
1,0,369,1,social,0,0
1,0,4700,1,social,1,1
1,0,1000,1,residential,1,1
1,0,595,1,residential,1,1
0,1,999,1,social,1,1
1,1,749,1,social,1,1
0,1,733,1,educational,1,1
0,0,400,1,residential,1,1
0,1,500,1,social,1,1
1,1,5000,1,social,1,1
1,1,150,1,social,1,1
1,0,900,1,social,1,1
0,0,150,1,social,1,1
1,0,500,1,social,1,1
1,1,315,1,residential,1,1
1,0,600,1,social,0,0
0,1,327,1,residential,1,1
0,1,800,0,residential,1,1
0,1,649,1,residential,1,1
0,0,500,1,residential,1,1
0,1,800,1,social,0,0
0,1,1000,1,residential,1,1
0,1,193,1,residential,1,1
0,0,590,1,residential,1,1
0,0,400,1,residential,1,1
1,1,1050,1,residential,1,1
1,1,1300,1,residential,1,1
1,1,500,1,social,1,1
1,1,450,0,residential,1,1
0,1,400,1,residential,0,0
0,1,549,1,residential,1,1
0,0,400,1,residential,1,1
1,1,650,1,residential,1,1
1,0,450,1,residential,1,1
0,0,600,0,residential,1,1
0,1,600,0,residential,1,1
1,0,900,0,residential,1,1
1,1,150,1,residential,1,1
1,1,1600,1,educational,1,1
1,0,100,0,residential,1,1
0,0,869,1,social,1,1
1,0,700,0,residential,1,1
1,0,1500,1,residential,1,1
1,0,250,1,residential,1,1
1,1,900,1,residential,1,1
1,0,200,1,social,1,1
1,1,846,1,residential,1,1
1,1,1099,1,residential,0,0
0,1,700,1,social,1,1
0,0,900,1,residential,1,1
1,0,700,1,residential,1,1
1,1,2050,1,residential,1,1
1,0,2500,1,residential,1,1
1,1,1400,1,residential,1,1
1,0,400,1,social,1,1
1,0,2200,1,residential,1,1
1,0,800,1,residential,1,1
0,0,2000,1,educational,1,1
1,1,300,1,social,1,1
0,0,200,1,social,1,1
1,0,1000,1,residential,1,1
0,1,949,1,residential,1,1
0,1,500,1,residential,1,1
0,1,600,1,social,1,1
0,1,400,1,residential,0,0
0,0,589,0,residential,0,0
0,0,350,1,residential,0,0
1,0,739,0,residential,1,1
0,1,1500,1,residential,1,1
1,1,791,1,residential,1,1
1,1,500,1,residential,1,1
1,1,900,0,residential,0,0
1,1,1000,1,social,1,1
0,1,500,1,residential,1,1
1,1,600,1,residential,1,1
0,1,500,1,residential,1,1
0,1,500,1,residential,1,1
0,0,550,1,social,1,1
0,1,550,1,residential,1,1
0,0,200,1,residential,1,1
1,0,350,1,social,1,1
1,0,600,1,social,1,1
0,0,600,1,residential,1,1
0,1,600,1,residential,1,1
0,0,600,1,residential,1,1
0,1,800,1,social,1,1
1,1,100,1,educational,1,1
1,0,400,1,social,1,1
1,0,400,1,social,0,0
1,0,400,1,social,0,0
1,1,1349,1,residential,1,1
1,0,500,1,residential,0,0
0,0,300,1,residential,1,1
0,0,1900,1,social,0,0
1,0,500,1,residential,1,1
1,1,250,1,residential,0,0
0,1,600,1,residential,1,1
0,1,500,1,residential,1,1
1,0,650,1,residential,0,0
1,1,700,1,residential,1,1
1,0,400,1,residential,1,1
0,1,580,1,social,1,1
1,1,600,1,residential,1,1
0,0,200,1,social,1,1
0,1,850,1,residential,1,1
0,1,499,1,educational,0,0
1,0,1600,1,residential,1,1
1,0,500,1,residential,1,1
1,0,1000,1,social,1,1
1,0,400,1,residential,1,1
0,0,500,0,residential,1,1
0,1,700,1,social,1,1
1,0,1500,1,residential,1,1
1,1,1000,1,social,1,1
1,1,575,1,residential,1,1
1,0,500,1,residential,1,1
1,1,549,0,social,1,1
1,0,809,1,residential,0,0
1,1,619,1,residential,1,1
1,1,1000,1,residential,1,1
0,0,920,1,residential,1,1
0,0,2000,1,residential,1,1
1,1,500,1,social,1,1
0,1,565,0,educational,1,1
0,0,700,1,educational,1,1
1,0,520,1,residential,1,1
0,1,678,0,educational,1,1
1,1,600,1,social,1,1
1,0,499,1,social,1,1
0,1,299,1,residential,1,1
1,0,790,1,residential,1,1
0,1,500,1,residential,1,1
0,0,200,0,residential,1,1
1,0,50,1,residential,0,0
0,1,69,0,residential,0,0
1,0,200,1,residential,1,1
1,1,200,1,residential,1,1
0,0,1500,1,residential,1,1
0,1,540,1,social,1,1
1,1,260,1,social,1,1
1,1,273,1,residential,1,1
1,1,574,1,residential,0,0
0,1,600,1,residential,1,1
0,0,913,1,residential,1,1
1,0,500,1,social,1,1
1,1,700,1,residential,0,0
1,0,1300,1,residential,1,1
1,0,559,1,residential,1,1
1,1,600,1,residential,1,1
0,0,600,1,educational,1,1
1,1,150,1,educational,1,1
1,1,2000,1,residential,0,0
1,0,500,1,social,1,1
1,0,300,1,social,1,1
0,1,900,1,residential,1,1
1,0,700,1,residential,1,1
1,1,1000,1,residential,1,1
1,1,500,1,residential,1,1
1,1,500,1,residential,1,1
0,1,360,1,educational,1,1
0,1,4500,1,residential,0,0
1,0,3000,1,social,0,0
1,1,500,1,residential,1,1
0,1,500,0,social,1,1
1,0,1000,1,social,0,0
1,1,539,1,residential,1,1
0,0,259,1,social,1,1
0,1,150,1,residential,1,1
0,0,1000,1,residential,0,0
1,1,450,1,residential,1,1
1,0,2500,1,residential,1,1
1,1,500,1,social,1,1
1,1,400,1,social,1,1
1,1,675,1,residential,1,1
1,1,600,0,educational,1,1
1,0,1000,1,residential,0,0
1,1,2000,1,social,1,1
0,1,700,1,residential,1,1
1,0,2000,1,residential,0,0
1,0,1000,1,residential,0,0
0,1,3500,1,social,1,1
0,0,1525,1,social,1,1
1,1,270,1,residential,1,1
0,0,399,0,residential,1,1
0,1,2500,1,social,1,1
1,0,1500,1,residential,1,1
0,1,635,1,social,1,1
1,0,500,0,social,1,1
0,0,700,1,social,0,0
0,0,300,1,residential,1,1
1,1,1200,1,residential,1,1
0,1,500,1,residential,1,1
0,1,400,1,residential,1,1
0,1,550,1,residential,1,1
1,1,1600,1,residential,1,1
0,0,644,1,social,1,1
1,0,431,1,residential,1,1
1,1,600,1,social,1,1
1,0,1200,1,social,1,1
1,1,450,1,social,1,1
0,1,1000,1,residential,1,1
0,0,800,1,residential,1,1
1,0,100,1,residential,1,1
0,1,250,1,residential,1,1
0,1,200,1,social,1,1
0,1,600,1,educational,1,1
0,0,900,1,social,1,1
0,0,500,1,residential,1,1
1,0,1200,1,residential,1,1
1,1,180,1,social,1,1
1,1,1200,1,residential,1,1
1,1,8000,1,social,1,1
1,1,750,1,social,1,1
1,0,250,1,social,1,1
1,1,339,1,social,0,0
1,0,300,1,social,1,1
0,0,600,1,social,1,1
0,1,2260,1,social,1,1
0,1,564,1,social,1,1
0,0,200,1,residential,1,1
1,1,600,1,residential,1,1
1,0,1400,1,residential,1,1
1,1,500,1,residential,1,1
1,1,1500,1,residential,0,0
1,1,500,0,educational,0,0
0,1,800,1,residential,1,1
1,0,750,1,residential,1,1
1,1,400,1,residential,1,1
1,1,1200,1,residential,1,1
0,1,500,1,residential,1,1
0,1,500,0,residential,1,1
1,1,5000,1,residential,1,1
1,0,100,1,social,1,1
1,0,600,0,residential,1,1
1,0,300,1,social,1,1
1,1,600,1,residential,1,1
1,1,1000,1,residential,1,1
1,0,600,1,social,1,1
