if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
0,1,1000,1,residential,1,1
0,0,700,0,educational,1,1
0,0,1200,1,residential,0,0
0,1,250,1,residential,1,1
0,0,2500,1,residential,0,0
0,1,500,1,social,0,0
0,0,700,1,social,1,1
1,1,600,0,residential,1,1
0,1,500,1,social,1,1
0,0,200,1,residential,1,1
0,0,400,1,residential,1,1
0,0,1125,1,social,1,1
0,1,650,1,residential,1,1
0,0,300,1,residential,1,1
0,1,200,1,social,0,0
0,1,500,1,social,1,1
0,0,4000,1,residential,0,0
0,1,480,1,residential,1,1
0,1,170,1,social,1,1
0,1,1000,1,social,0,0
0,0,1100,1,residential,0,0
0,1,400,1,social,0,0
0,1,400,1,social,0,0
0,0,250,1,residential,1,1
0,1,1200,1,residential,1,1
0,1,350,1,social,1,1
0,0,250,1,educational,0,0
0,1,500,1,social,1,1
0,1,600,1,social,0,0
0,1,650,1,social,0,0
0,0,900,1,social,1,1
0,1,850,1,social,1,1
1,1,400,0,residential,1,1
1,0,300,0,residential,1,1
0,1,1034,1,social,1,1
0,0,300,1,educational,1,1
0,1,500,1,residential,1,1
0,0,400,1,residential,1,1
0,0,300,1,residential,1,1
0,1,500,1,social,1,1
0,1,300,1,social,1,1
0,0,300,1,social,1,1
0,0,99,1,social,1,1
0,1,325,1,residential,1,1
0,0,600,1,social,1,1
0,1,300,1,social,1,1
0,1,275,0,social,1,1
0,0,250,1,residential,1,1
0,1,800,1,social,0,0
0,0,450,1,social,1,1
0,0,2000,1,social,1,1
0,0,400,1,social,1,1
0,0,500,1,residential,1,1
0,0,300,1,residential,1,1
0,0,2298,1,social,0,0
0,1,1500,1,social,0,0
0,0,400,1,social,0,0
0,0,1600,1,social,1,1
0,0,600,1,residential,1,1
0,1,750,1,residential,1,1
0,1,650,1,social,1,1
0,1,579,1,residential,1,1
0,1,1500,1,social,1,1
0,0,400,1,social,0,0
0,1,2500,1,social,1,1
0,0,150,1,social,1,1
0,1,900,1,residential,1,1
0,0,400,1,social,1,1
0,0,800,1,social,1,1
0,0,100,1,residential,1,1
0,1,120,1,social,1,1
0,1,200,1,social,1,1
1,0,125,0,residential,0,0
0,1,3995,1,residential,1,1
0,1,934,1,social,0,0
1,0,100,0,residential,1,1
0,1,250,1,social,1,1
0,0,100,1,social,1,1
0,0,300,1,residential,1,1
0,1,150,1,social,1,1
0,0,300,0,social,1,1
0,0,1400,1,residential,0,0
0,1,2350,1,social,0,0
0,1,1750,1,social,0,0
0,0,400,1,educational,0,0
0,0,500,1,residential,1,1
0,1,700,1,social,0,0
0,0,800,1,social,1,1
0,1,70,1,social,1,1
0,0,1100,1,social,1,1
0,1,700,1,residential,1,1
0,1,750,0,social,1,1
0,0,900,1,residential,0,0
0,0,600,1,social,1,1
0,0,1500,1,educational,1,1
0,1,500,1,residential,1,1
0,0,860,1,residential,1,1
0,0,1000,1,residential,1,1
0,0,450,1,residential,1,1
0,1,600,1,residential,1,1
0,0,900,1,residential,1,1
0,0,1000,1,residential,0,0
0,1,1500,1,residential,0,0
0,0,300,1,educational,1,1
0,1,320,1,residential,1,1
0,1,399,0,residential,1,1
0,1,800,1,social,1,1
0,0,350,1,social,1,1
0,1,350,1,social,1,1
0,1,100,1,residential,0,0
0,1,100,1,residential,0,0
0,0,300,0,educational,1,1
0,0,1300,1,social,1,1
0,1,1000,1,residential,1,1
0,1,500,1,social,1,1
0,0,499,1,social,1,1
0,0,926,1,residential,1,1
0,0,1395,1,social,1,1
0,0,2000,1,residential,1,1
0,1,800,1,social,1,1
0,0,600,0,residential,1,1
0,1,199,1,residential,1,1
0,1,790,1,social,0,0
1,1,2500,1,residential,1,1
0,1,500,1,residential,1,1
0,1,600,1,social,1,1
0,1,800,1,social,0,0
0,0,4200,1,social,0,0
1,0,250,1,residential,0,0
0,0,300,1,residential,1,1
0,1,2000,1,social,0,0
0,0,1019,1,residential,0,0
0,1,300,1,residential,1,1
0,0,120,1,residential,1,1
0,1,350,1,residential,1,1
0,1,400,1,residential,1,1
0,0,80,1,social,1,1
0,0,425,1,residential,1,1
0,0,1070,1,residential,1,1
0,0,995,1,residential,1,1
0,0,735,1,residential,0,0
0,0,600,1,residential,1,1
0,1,1200,1,social,0,0
0,1,200,1,social,1,1
0,1,1000,1,social,1,1
0,0,1600,1,social,1,1
0,1,2000,0,residential,1,1
0,0,200,1,residential,0,0
0,0,100,1,social,1,1
0,1,1000,1,social,0,0
0,0,1000,0,social,0,0
0,1,900,1,social,1,1
0,1,1827,1,social,1,1
0,1,600,1,social,1,1
0,1,500,1,educational,1,1
0,0,600,1,residential,1,1
0,0,600,1,social,1,1
0,0,280,0,educational,1,1
0,0,250,1,social,1,1
0,1,250,0,social,1,1
0,1,640,1,social,1,1
0,1,800,1,residential,1,1
0,0,440,1,residential,1,1
0,0,500,1,residential,1,1
0,1,400,1,social,1,1
0,1,1200,1,residential,1,1
0,1,600,1,residential,1,1
0,1,800,1,social,1,1
0,0,1200,1,social,1,1
0,0,650,1,residential,1,1
0,0,169,1,residential,1,1
0,1,1500,1,residential,1,1
0,1,399,1,residential,1,1
0,0,359,1,social,0,0
0,1,300,0,social,1,1
0,1,1000,1,social,1,1
0,0,600,1,social,1,1
0,1,1000,1,social,1,1
